# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	15795
#@/user_id	rime-setting
a 	啊	c=5 d=3.25942e-11 t=15795
a chou ti 	啊抽屜	c=1 d=5.52032e-11 t=15795
a chou ti o 	啊抽屜哦	c=1 d=3.8707e-11 t=15795
a yi 	阿姨	c=5 d=2.88578e-16 t=15795
ai 	愛	c=1 d=5.60375e-11 t=15795
ai guo 	愛國	c=1 d=2.51656e-34 t=15795
ai guo zhe 	愛國者	c=1 d=0.729789 t=15795
ai hao 	愛好	c=1 d=7.51478e-22 t=15795
ai hong bian ye 	哀鴻遍野	c=1 d=3.17392e-29 t=15795
ai kan shu 	愛看書	c=1 d=4.21625e-17 t=15795
ai qing 	愛情	c=2 d=3.01912e-20 t=15795
ai shang 	愛上	c=0 d=1.99229e-22 t=15795
ai shang fa sheng di 	愛上發生地	c=1 d=2.00228e-21 t=15795
ai zheng 	癌症	c=1 d=1.18999e-17 t=15795
ai zi ji 	愛自己	c=4 d=1.53483e-16 t=15795
an 	按	c=2 d=0.000427492 t=15795
an ge 	俺哥	c=1 d=4.79654e-34 t=15795
an jing 	安靜	c=1 d=1.28398e-29 t=15795
an li 	案例	c=3 d=0.216536 t=15795
an pai 	安排	c=10 d=1.18242e-08 t=15795
an quan mo shi 	安全模式	c=1 d=2.07537e-31 t=15795
an ran 	黯然	c=1 d=3.83872e-31 t=15795
an shang 	岸上	c=1 d=1.19388e-26 t=15795
an yi 	安逸	c=1 d=4.2322e-32 t=15795
an zhao 	按照	c=2 d=0.0262035 t=15795
an zhuan 	暗轉	c=1 d=1.25382e-14 t=15795
an zhuang 	安裝	c=51 d=1.36735 t=15795
an zhuang bao 	安裝包	c=0 d=2.73423e-11 t=15795
an zhuang ge 	安裝個	c=1 d=1.17367e-31 t=15795
an zhuang zuan gan 	安裝鑽桿	c=1 d=3.47707e-14 t=15795
an zhun 	案准	c=1 d=9.76306e-13 t=15795
an zhuo 	安卓	c=2 d=4.20295e-31 t=15795
ao 	奧	c=0 d=1.50288e-29 t=15795
ba 	吧	c=50 d=0.105277 t=15795
ba 	把	c=36 d=0.360764 t=15795
